0/18,Title,Subtitle,Caption,Source,Object Map Link,Actor,Menu Order
FALSE,The Master Sword's Power,-,Link recovers the Master Sword in the Lost Woods after it's been restored. Zelda is astonished to learn from the Deku Tree that the Master Sword will become even stronger when flooded with sacred power.,Trail of the Master Sword (Korok Forest),-,Dm_OT_0015_PreRender,01
FALSE,The Awakening,-,"While investigating the mysterious gloom under Hyrule Castle, Link and Zelda encounter a mummy that attacks them. Events spiral out of control when the Master Sword shatters, Zelda falls into the depths of the earth, and Link, gripped by a mysterious arm, is enveloped in light.",Prologue (Beneath Hyrule Castle),-,DmT_OP_GanonWakeUp_PreRender_Memory,02
FALSE,Where Am I?,Tear of the Dragon #1,"After disappearing into the depths under the castle, Zelda wakes up and meets two strangers who introduce themselves as King Rauru and Queen Sonia. She's left startled by a suspicion that she's heard those names before.",North Hyrule Plain,DragonTears01,DmT_ZE_Meet_PreRender,03
FALSE,An Unfamiliar World,Tear of the Dragon #2,"Looking out across the world she's found herself in, Zelda realizes she's traveled to the ancient past and questions how she can get back to her own time. Sonia offers some helpful thoughts, but it's Rauru who realizes his older sister, Mineru, might know a way Zelda can travel forward in time.",Tabantha Hills,DragonTears02,Dm_ZE_0004_PreRender,04
FALSE,Mineru's Counsel,Tear of the Dragon #3,"After examining the Purah Pad, Mineru accepts that Zelda is from a different time and explains the only way she might get to the future is by using draconification. It's a forbidden act, however, because Zelda would need to sacrifice her sense of self. Rauru tells a disappointed Zelda to speak with Sonia and learn more about her power over time itself.",Trilby Valley,DragonTears03,Dm_ZE_0006_PreRender,05
FALSE,The Gerudo Assault,Tear of the Dragon #4,"The Gerudo chief, Ganondorf, in his push to conquer Hyrule, uses a swarm of Molduga to assault the castle. When Rauru uses his powers to unleash an attack that destroys the swarm, Ganondorf notices the Zonai secret stone on Rauru's right hand. The sight of it draws a sinister smile from Ganondorf.",Batrea Lake,DragonTears04,DmT_ZE_Molduga_PreRender,06
FALSE,A Show of Fealty,Tear of the Dragon #5,"Invited before the court of Hyrule, Ganondorf kneels before King Rauru and pledges his fealty—while concealing a smile that says otherwise. Still, Zelda is uneasy, and tells Rauru that she's certain the chief has treachery on his mind. Rauru assures her that he's been fully aware of it.",Sapphia's Table,DragonTears05,DmT_ZE_LieServant_PreRender,07
FALSE,Zelda and Sonia,Tear of the Dragon #6,"When Zelda speaks with Sonia to learn how to use her own time powers, she's surprised by the queen's techniques. Sonia then speaks with Zelda about everything she must be struggling with, and the princess then mentions Link. Rauru has never heard of him before, and as Zelda explains who he is, her faith in her friend and hero shines.",Illumeni Plateau,DragonTears06,Dm_ZE_0005_PreRender,08
FALSE,Sonia Is Caught by Treachery,Tear of the Dragon #7,"Sonia meets with Zelda in private, and when the princess is revealed to be a creature under Ganondorf's command, Sonia and the real Zelda address the threat with confidence. The false Zelda laughs eerily and vanishes in a mist of gloom. In that moment, Ganondorf steps up behind Sonia and catches the queen by surprise. She falls victim to the scheme.",Gogobi Shores,DragonTears07,DmT_ZE_QueenDead_PreRender,09
FALSE,Birth of the Demon King,Tear of the Dragon #8,"With the secret stone he took from Sonia, Ganondorf turns into the Demon King. The gloom that issues from his body creates countless monsters that howl across the world. Rauru goes to Sonia's side to help his fallen queen. Though furious at Ganondorf, he knows the Demon King is too powerful to confront at that moment. He retreats with Zelda.",North Tabantha Snowfield,DragonTears08,DmT_ZE_Birth_PreRender,10
FALSE,The Demon King's Army,-,"Having turned into the Demon King, Ganondorf uses his terrifying power to cover the world in gloom and send his army of monsters across Hyrule, attacking the peoples of all territories who oppose him.",Crisis at Hyrule Castle (Hyrule Castle),-,Dm_BZ_0005_PreRender,11
FALSE,The Sages' Vow,Tear of the Dragon #9,"Backed into a corner by the attacks in all parts of Hyrule, leaders facing the Demon King's forces gather at Rauru's call. He gives each a Zonai secret stone, making them sages with powers amplified by the stones. All of the sages raise their voices as one, pledging to fight with King Rauru to the end.",Talus Plateau,DragonTears09,Dm_ZE_0007_PreRender,12
FALSE,A King's Duty,Tear of the Dragon #10,"On the eve of battle, Zelda tells Rauru that in her future, she's seen that the Demon King is alive, and that it means they won't defeat him the next day. Rauru says that he will still do what he must, even at the cost of his life. If they fail, their last line of defense will be the knight in the future, who wields the sword that seals the darkness.",Mount Faloraa,DragonTears10,Dm_ZE_0008_PreRender,13
FALSE,The Imprisoning War,-,"In the battle against Demon King Ganondorf, King Rauru realizes that he and his allies have found themselves in a fatal moment. Knowing he is at fault for Ganondorf's rise in Hyrule and for the theft of the secret stone, Rauru risks his life to imprison the tyrant.",Guidance from Ages Past (Spirit Temple),-,Dm_ZN_0033_PreRender,14
FALSE,A Master Sword in Time,Tear of the Dragon #11,"As Zelda worries about the Demon King breaking free in the future, a decayed Master Sword appears before her, delivering the news to Zelda that Link is safe in her time. This helps Zelda realize the reason behind her traveling to the ancient days of Hyrule—she finally knows what she must do.",Deplian Badlands (South),DragonTears11,Dm_ZE_0010_PreRender,15
FALSE,Critical Decisions,-,"Zelda informs Mineru that she has come up with a plan to restore the Master Sword by performing an act that Mineru herself has said is expressly forbidden. It will consume Zelda's sense of self, but the princess insists that she will make this ultimate sacrifice. Mineru is gravely opposed, but promises to help to the best of her abilities.",Guidance from Ages Past (Spirit Temple),-,Dm_ZN_0039_PreRender,16
FALSE,Tears of the Dragon,Tear of the Dragon #12,"After leaving the Purah Pad in Mineru's care, Zelda swallows the secret stone, holding a hope for Link's future in her heart. As bright light washes over her, Zelda transforms into the Light Dragon, roaring as she ascends into the sky. Tears fall from her eyes and rain from the heavens as the Light Dragon vanishes into an expanse of clouds.",Rist Peninsula,DragonTears12,Dm_ZE_0011_PreRender,17
FALSE,Zelda's Wish,-,"Zelda clutches the decayed Master Sword close to her chest and calls to Link, hoping that the sword, which she's suffusing with new power, can find a way to him somehow.",Recovering the Hero's Sword (Light Dragon),-,Dm_SK_0003_PreRender,18